episode,reward,length,key_picked,door_opened,goal_reached
1,1.64,23,True,True,True
2,1.94,11,True,True,True
3,1.28,41,True,True,True
4,1.86,13,True,True,True
5,1.64,22,True,True,True
6,-0.58,50,False,False,False
7,0.94,43,True,True,True
8,1.32,36,True,True,True
9,1.98,10,True,True,True
10,0.1,50,True,False,False
11,1.74,18,True,True,True
12,1.72,18,True,True,True
13,0.84,50,True,True,False
14,1.78,18,True,True,True
15,2.02,8,True,True,True
16,1.88,13,True,True,True
17,0.22,50,True,False,False
18,1.38,36,True,True,True
19,-0.36,50,False,False,False
20,2.06,7,True,True,True
21,1.8,18,True,True,True
22,1.94,11,True,True,True
23,1.68,23,True,True,True
24,1.4,30,True,True,True
25,1.8,18,True,True,True
26,2.0,9,True,True,True
27,1.84,15,True,True,True
28,1.7,23,True,True,True
29,1.78,19,True,True,True
30,2.02,8,True,True,True
31,1.32,33,True,True,True
32,1.72,19,True,True,True
33,2.06,7,True,True,True
34,0.84,48,True,True,True
35,1.54,27,True,True,True
36,1.52,25,True,True,True
37,1.12,36,True,True,True
38,1.8,17,True,True,True
39,1.98,10,True,True,True
40,1.74,16,True,True,True
41,1.96,10,True,True,True
42,1.72,21,True,True,True
43,0.76,50,True,True,False
44,1.88,13,True,True,True
45,1.96,11,True,True,True
46,-0.52,50,False,False,False
47,1.9,13,True,True,True
48,1.1,43,True,True,True
49,1.26,36,True,True,True
50,0.86,50,True,True,False
51,0.92,50,True,True,False
52,-0.66,50,False,False,False
53,2.06,7,True,True,True
54,1.86,15,True,True,True
55,1.66,23,True,True,True
56,-0.68,50,False,False,False
57,1.98,9,True,True,True
58,1.5,29,True,True,True
59,2.04,8,True,True,True
60,1.56,22,True,True,True
61,1.66,21,True,True,True
62,1.94,11,True,True,True
63,2.06,7,True,True,True
64,1.32,37,True,True,True
65,1.98,10,True,True,True
66,1.86,13,True,True,True
67,1.34,39,True,True,True
68,1.52,33,True,True,True
69,2.06,7,True,True,True
70,1.34,40,True,True,True
71,2.02,9,True,True,True
72,1.62,25,True,True,True
73,1.98,10,True,True,True
74,1.22,41,True,True,True
75,1.8,18,True,True,True
76,1.82,15,True,True,True
77,2.0,9,True,True,True
78,0.76,50,True,True,False
79,1.92,11,True,True,True
80,2.06,7,True,True,True
81,1.84,14,True,True,True
82,1.72,21,True,True,True
83,-0.76,50,False,False,False
84,1.42,27,True,True,True
85,2.04,8,True,True,True
86,1.5,30,True,True,True
87,1.72,17,True,True,True
88,1.18,47,True,True,True
89,1.94,12,True,True,True
90,1.9,13,True,True,True
91,1.96,10,True,True,True
92,1.86,13,True,True,True
93,1.74,18,True,True,True
94,1.94,10,True,True,True
95,1.94,10,True,True,True
96,1.14,45,True,True,True
97,1.92,13,True,True,True
98,2.06,7,True,True,True
99,2.02,8,True,True,True
100,1.88,12,True,True,True
101,1.9,14,True,True,True
102,0.68,50,True,True,False
103,0.9,50,True,True,False
104,-0.86,50,False,False,False
105,2.04,8,True,True,True
106,-0.7,50,False,False,False
107,1.7,21,True,True,True
108,1.82,15,True,True,True
109,0.8,50,True,True,False
110,2.02,8,True,True,True
111,1.96,11,True,True,True
112,1.86,15,True,True,True
113,2.02,8,True,True,True
114,1.78,16,True,True,True
115,1.86,14,True,True,True
116,1.12,48,True,True,True
117,2.04,8,True,True,True
118,1.22,42,True,True,True
119,-0.78,50,False,False,False
120,2.04,8,True,True,True
121,1.98,9,True,True,True
122,2.02,9,True,True,True
123,1.9,12,True,True,True
124,-0.7,50,False,False,False
125,1.96,11,True,True,True
126,2.06,7,True,True,True
127,1.58,24,True,True,True
128,2.02,9,True,True,True
129,1.6,25,True,True,True
130,1.08,42,True,True,True
131,2.06,7,True,True,True
132,1.94,12,True,True,True
133,1.62,24,True,True,True
134,0.94,50,True,True,False
135,1.66,20,True,True,True
136,1.9,15,True,True,True
137,2.06,7,True,True,True
138,1.98,11,True,True,True
139,1.98,11,True,True,True
140,1.98,11,True,True,True
141,2.06,7,True,True,True
142,2.06,7,True,True,True
143,2.0,9,True,True,True
144,2.06,7,True,True,True
145,1.7,20,True,True,True
146,2.02,8,True,True,True
147,2.02,9,True,True,True
148,2.06,7,True,True,True
149,1.38,28,True,True,True
150,-0.7,50,False,False,False
151,-0.66,50,False,False,False
152,1.96,10,True,True,True
153,1.68,20,True,True,True
154,0.8,50,True,True,False
155,1.96,11,True,True,True
156,1.96,12,True,True,True
157,1.76,20,True,True,True
158,1.46,32,True,True,True
159,2.06,7,True,True,True
160,2.02,8,True,True,True
161,0.36,50,True,False,False
162,2.06,7,True,True,True
163,1.62,25,True,True,True
164,1.76,17,True,True,True
165,2.02,8,True,True,True
166,2.06,7,True,True,True
167,1.9,11,True,True,True
168,2.02,9,True,True,True
169,1.36,27,True,True,True
170,1.92,13,True,True,True
171,1.68,23,True,True,True
172,0.92,50,True,True,False
173,0.84,50,True,True,False
174,1.36,40,True,True,True
175,1.28,40,True,True,True
176,-0.68,50,False,False,False
177,0.82,50,True,True,False
178,0.84,50,True,True,False
179,2.02,9,True,True,True
180,1.62,20,True,True,True
181,0.88,50,True,True,False
182,1.74,20,True,True,True
183,2.02,8,True,True,True
184,1.98,10,True,True,True
185,0.84,50,True,True,False
186,1.52,30,True,True,True
187,1.52,22,True,True,True
188,0.86,50,True,True,False
189,1.8,18,True,True,True
190,2.06,7,True,True,True
191,1.9,11,True,True,True
192,1.88,13,True,True,True
193,1.82,19,True,True,True
194,1.8,16,True,True,True
195,1.48,30,True,True,True
196,1.28,33,True,True,True
197,1.24,43,True,True,True
198,0.9,50,True,True,False
199,1.98,10,True,True,True
200,0.8,50,True,True,False
201,1.58,25,True,True,True
202,2.06,7,True,True,True
203,1.96,11,True,True,True
204,2.02,8,True,True,True
205,1.48,30,True,True,True
206,2.06,7,True,True,True
207,1.98,9,True,True,True
208,2.06,7,True,True,True
209,1.78,19,True,True,True
210,1.88,14,True,True,True
211,1.22,48,True,True,True
